,Open,High,Low,Close,Volume,Adj Close
2017-12-18,77545,81454,76272,80363,96378,80363
2017-12-19,80909,80909,78181,80000,58642,80000
2017-12-21,79000,87090,78909,85636,202569,85636
2017-12-22,85000,90909,84090,90545,122856,90545
2017-12-26,92272,95000,90545,93181,104961,93181
2017-12-27,95700,95800,91000,92900,73058,92900
2017-12-28,92200,93300,87500,89600,111323,89600
2018-01-02,90000,92500,88400,90000,57542,90000
2018-01-03,90300,91500,88600,90200,53916,90200
2018-01-04,90400,90800,86400,86600,62068,86600
2018-01-05,86900,90500,86800,89300,51406,89300
2018-01-08,90200,90200,87200,87800,44070,87800
2018-01-09,87800,90400,87100,88800,73182,88800
2018-01-10,89500,90800,87000,90100,42935,90100
2018-01-11,89700,91300,88400,90300,55732,90300
2018-01-12,90000,96400,89200,93600,99438,93600
2018-01-15,93100,94700,90600,92700,80722,92700
2018-01-16,93300,107000,93100,100000,300631,100000
2018-01-17,100400,100900,97500,100000,90671,100000
2018-01-18,100900,107800,100900,102300,124476,102300
2018-01-19,102400,106400,100000,101100,95502,101100
2018-01-22,101500,102200,97800,99000,54297,99000
2018-01-23,100200,100200,97900,99000,45988,99000
2018-01-24,100800,108000,100400,107100,140192,107100
2018-01-25,107700,109600,104500,105500,56784,105500
2018-01-26,106000,106800,104000,106500,27430,106500
2018-01-29,106900,108300,103500,104600,45451,104600
2018-01-30,104000,104400,100500,101400,65693,101400
2018-01-31,101200,102900,99300,101200,51230,101200
2018-02-01,102000,104600,95700,97000,159156,97000
2018-02-02,97900,97900,93000,94000,71526,94000
2018-02-05,91200,93500,90000,90000,55698,90000
2018-02-06,86400,92300,86000,92300,82526,92300
2018-02-07,94800,95600,90400,90400,64906,90400
2018-02-08,91500,99100,89500,96400,116569,96400
2018-02-09,92500,94600,92100,93500,44462,93500
2018-02-12,92500,95800,92100,94800,50278,94800
2018-02-13,96500,98000,92100,92100,58934,92100
2018-02-14,93300,96600,92500,94900,48660,94900
2018-02-19,94000,99200,94000,98900,44733,98900
2018-02-20,98600,98600,95300,95800,58666,95800
2018-02-21,95800,97600,95300,96800,27078,96800
2018-02-22,96200,96400,93900,95600,26510,95600
2018-02-23,95200,97200,94000,94900,43590,94900
2018-02-26,95100,99500,95000,98400,72132,98400
2018-02-27,99000,99000,95200,95800,41615,95800
2018-02-28,95200,95400,91500,94300,67624,94300
2018-03-02,92500,93600,91200,93500,30468,93500
2018-03-05,93500,93800,91100,91200,20033,91200
2018-03-06,93000,93900,91700,93400,24666,93400
2018-03-08,92500,93800,92300,92900,18478,92900
2018-03-09,94800,96400,94200,95000,38984,95000
2018-03-12,96000,96500,94300,96300,49579,96300
2018-03-13,96100,96900,95000,96100,31149,96100
2018-03-14,95200,95700,94200,95000,20215,95000
2018-03-15,94200,96700,93800,96300,30061,96300
2018-03-16,96300,96600,94800,95200,19881,95200
2018-03-19,94200,94900,93400,93700,19713,93700
2018-03-20,92500,95800,92500,95600,33748,95600
2018-03-21,95600,101800,95600,100600,137650,100600
2018-03-22,101900,102500,99200,99900,65036,99900
2018-03-23,98100,100100,97100,97100,64194,97100
2018-03-26,96000,98800,95300,97900,57255,97900
2018-03-27,98500,103000,97500,101900,95752,101900
2018-03-28,100300,100800,98000,100200,49152,100200
2018-03-29,101300,108000,100200,107600,110547,107600
2018-03-30,107600,109500,106100,107000,45924,107000
2018-04-02,107100,107900,104300,107400,33288,107400
2018-04-03,106400,112300,105300,110900,62595,110900
2018-04-04,113300,114500,106700,108400,104041,108400
2018-04-05,109900,122300,109900,118500,169,118500
2018-04-06,117100,124300,115300,122000,102911,122000
2018-04-09,122000,128900,120500,125700,119284,125700
2018-04-10,126800,127000,121200,122600,83111,122600
2018-04-11,121300,123000,117000,118000,83583,118000
2018-04-12,117800,118500,113400,115500,69127,115500
2018-04-13,116500,118500,113800,118500,46612,118500
2018-04-16,117700,118500,115300,115600,39025,115600
2018-04-17,117900,117900,113800,115000,31249,115000
2018-04-18,115700,116500,112500,113000,36051,113000
2018-04-19,112700,121000,111600,120000,118767,120000
2018-04-20,122200,124800,112000,112900,143604,112900
2018-04-23,111600,112900,107900,109000,51905,109000
2018-04-24,110900,111000,107600,108000,31968,108000
2018-04-25,107900,117000,105500,116500,83571,116500
2018-04-26,116100,135700,113400,124600,142597,124600
2018-04-27,126200,132300,124100,125500,77975,125500
2018-04-30,127000,128000,121000,122100,70206,122100
2018-05-02,119100,122800,115900,118800,70499,118800
2018-05-03,118800,119000,115000,115000,54179,115000
2018-05-04,115000,115100,110200,110200,59300,110200
2018-05-08,115500,129800,113000,113000,200943,113000
2018-05-09,118000,124200,115800,124100,96957,124100
2018-05-10,124000,124000,118900,121600,54448,121600
2018-05-11,120500,123300,120400,122200,48597,122200
2018-05-14,122800,125000,120500,121800,55464,121800
2018-05-15,101800,103400,99700,100100,58629,100100
2018-05-16,101600,104300,99900,100300,60768,100300
2018-05-17,101100,101100,96900,98400,57866,98400
