Date,Open,High,Low,Close,Volume,Adj_Close
2018-09-13,2030,2055,2030,2040,781404,0
2018-09-14,2040,2040,2030,2035,245374,0
2018-09-17,2035,2040,2030,2030,229248,0
2018-09-18,2030,2035,2025,2035,97792,0
2018-09-19,2030,2035,2025,2030,59276,0
2018-09-20,2030,2035,2030,2035,21615,0
2018-09-21,2035,2040,2030,2035,22248,0
2018-09-27,2045,2045,2035,2040,24483,0
2018-09-28,2045,2085,2040,2070,110149,0
2018-10-01,2070,2075,2060,2075,28473,0
2018-10-02,2080,2080,2060,2070,33167,0
2018-10-04,2075,2075,2055,2060,26671,0
2018-10-05,2070,2075,2060,2060,14961,0
2018-10-08,2065,2065,2040,2065,54624,0
2018-10-10,2065,2065,2050,2050,3839,0
2018-10-11,2055,2055,2040,2055,55209,0
2018-10-12,2045,2070,2045,2070,18349,0
2018-10-15,2065,2065,2045,2060,11383,0
2018-10-16,2075,2075,2050,2050,8281,0
2018-10-17,2070,2070,2050,2050,3444,0
2018-10-18,2070,2070,2050,2065,14985,0
2018-10-19,2065,2065,2050,2065,16059,0
2018-10-22,2065,2070,2060,2065,15753,0
2018-10-23,2075,2080,2070,2075,16676,0
2018-10-24,2070,2085,2060,2060,37683,0
2018-10-25,2065,2070,2040,2060,24774,0
2018-10-26,2065,2065,2040,2060,17206,0
2018-10-29,2065,2065,2035,2060,24046,0
2018-10-30,2050,2060,2040,2060,7088,0
2018-10-31,2060,2060,2040,2060,43705,0
2018-11-01,2045,2065,2045,2060,11645,0
2018-11-02,2080,2080,2040,2070,34488,0
2018-11-05,2070,2070,2055,2065,4495,0
2018-11-06,2065,2065,2050,2060,5389,0
2018-11-07,2065,2070,2040,2065,12705,0
2018-11-08,2065,2065,2050,2050,7462,0
2018-11-09,2065,2065,2045,2045,10213,0
2018-11-12,2045,2065,2045,2055,1973,0
2018-11-13,2055,2055,2045,2045,25334,0
2018-11-14,2045,2055,2040,2055,5964,0
2018-11-15,2060,2060,2035,2035,17961,0
2018-11-16,2055,2055,2030,2050,35167,0
2018-11-19,2045,2045,2035,2045,11194,0
2018-11-20,2050,2050,2040,2045,29107,0
2018-11-21,2050,2055,2035,2050,21788,0
2018-11-22,2055,2055,2050,2050,6868,0
2018-11-23,2055,2055,2035,2050,61013,0
2018-11-26,2050,2050,2050,2050,5173,0
2018-11-27,2050,2050,2050,2050,133,0
2018-11-28,2050,2050,2035,2050,142,0
2018-11-29,2050,2050,2035,2050,1047,0
2018-11-30,2050,2050,2030,2045,108,0
2018-12-03,2050,2050,2035,2050,4950,0
2018-12-04,2050,2050,2030,2045,244,0
2018-12-05,2050,2050,2025,2040,39593,0
2018-12-06,2050,2050,2050,2050,1,0
2018-12-07,2050,2050,2030,2035,63962,0
2018-12-10,2050,2050,2035,2045,21490,0
2018-12-11,2050,2050,2030,2035,506,0
2018-12-12,2040,2040,2030,2035,4675,0
2018-12-13,2040,2040,2035,2035,3,0
2018-12-14,2040,2040,2025,2025,7,0
2018-12-17,2045,2045,2025,2035,77,0
2018-12-18,2050,2050,2020,2040,5800,0
2018-12-19,2035,2035,2020,2035,161,0
2018-12-20,2035,2035,2020,2020,2269,0
2018-12-21,2035,2035,2010,2015,2403,0
2018-12-24,2030,2030,2010,2025,9434,0
2018-12-26,2030,2030,2010,2030,29416,0
2018-12-27,2030,2030,2015,2030,2504,0
2018-12-28,2025,2025,2005,2020,10869,0
2019-01-02,2010,2015,2010,2015,20836,0
2019-01-03,2030,2030,2010,2010,9523,0
2019-01-04,2025,2025,2005,2010,1584,0
2019-01-07,2020,2020,2010,2020,226,0
2019-01-08,2020,2020,2010,2020,1046,0
2019-01-09,2020,2020,2015,2020,1775,0
2019-01-10,2025,2025,2010,2020,5626,0
2019-01-11,2020,2025,2015,2025,494,0
2019-01-14,2025,2025,2020,2020,503,0
2019-01-15,2025,2025,2025,2025,9,0
2019-01-16,2020,2020,2010,2015,11037,0
2019-01-17,2025,2025,2015,2015,2325,0
2019-01-18,2025,2025,2010,2020,4025,0
2019-01-21,2025,2025,2015,2015,859,0
2019-01-22,2025,2025,2020,2020,101,0
2019-01-23,2025,2025,2015,2020,153,0
2019-01-24,2020,2020,2020,2020,703,0
2019-01-25,2020,2020,2010,2015,26119,0
2019-01-28,2025,2025,2015,2020,8158,0
2019-01-29,2025,2025,2020,2025,3688,0
2019-01-30,2025,2025,2015,2015,181,0
2019-01-31,2025,2025,2020,2020,4356,0
2019-02-01,2015,2015,2015,2015,7994,0
2019-02-07,2030,2030,2015,2020,3373,0
2019-02-08,2025,2025,2020,2020,809,0
2019-02-11,2025,2025,2015,2020,1435,0
2019-02-12,2020,2020,2015,2020,1900,0
2019-02-13,2025,2025,2015,2020,6581,0
2019-02-14,2025,2025,2025,2025,4,0
2019-02-15,2025,2030,2020,2025,3706,0
2019-02-18,2025,2025,2015,2020,6463,0
2019-02-19,2025,2025,2020,2020,2523,0
2019-02-20,2020,2020,2015,2015,4145,0
2019-02-21,2025,2025,2015,2015,3860,0
2019-02-22,2025,2025,2020,2020,4,0
2019-02-25,2025,2025,2025,2025,1502,0
2019-02-26,2025,2025,2010,2015,77458,0
2019-02-27,2030,2030,2010,2020,5254,0
2019-02-28,2025,2025,2010,2020,5484,0
2019-03-04,2025,2025,2010,2015,11264,0
2019-03-05,2020,2025,2015,2025,36161,0
2019-03-06,2025,2025,2010,2025,58353,0
2019-03-07,2025,2025,2025,2025,2,0
2019-03-08,2025,2025,2025,2025,52,0
2019-03-11,2025,2025,2020,2025,10760,0
2019-03-12,2030,2030,2020,2030,7766,0
