Date,Open,High,Low,Close,Volume,Adj_Close
2018-01-02,8960,9060,8910,9030,17901,0
2018-01-03,9080,9270,9030,9220,35375,0
2018-01-04,9220,9430,9210,9290,19909,0
2018-01-05,9280,9960,9210,9710,71105,0
2018-01-08,9630,9640,9400,9530,15771,0
2018-01-09,9580,9960,9470,9700,71676,0
2018-01-10,9700,9970,9700,9800,30242,0
2018-01-11,9930,10350,9800,9870,155526,0
2018-01-12,9830,10050,9820,9820,37621,0
2018-01-15,9830,10100,9800,9800,34755,0
2018-01-16,9770,9970,9740,9760,15388,0
2018-01-17,9720,9910,9660,9890,23518,0
2018-01-18,9880,9960,9760,9910,11539,0
2018-01-19,9910,9920,9780,9880,14463,0
2018-01-22,9880,9950,9800,9830,14026,0
2018-01-23,9900,9940,9800,9900,18166,0
2018-01-24,9850,9920,9850,9890,13250,0
2018-01-25,9890,9910,9800,9880,8214,0
2018-01-26,9850,9920,9800,9860,16233,0
2018-01-29,9890,10150,9880,9990,55550,0
2018-01-30,10000,10100,9920,10000,14831,0
2018-01-31,9940,10000,9800,9930,30847,0
2018-02-01,9990,9990,9870,9880,14289,0
2018-02-02,9950,9980,9760,9910,17505,0
2018-02-05,9820,9890,9700,9750,29892,0
2018-02-06,9350,9770,9170,9680,80784,0
2018-02-07,9780,9780,9400,9550,15432,0
2018-02-08,9500,9940,9450,9800,26198,0
2018-02-09,9470,9800,9470,9610,14480,0
2018-02-12,9520,9810,9460,9540,11350,0
2018-02-13,9560,9770,9470,9590,10080,0
2018-02-14,9590,9920,9540,9840,12354,0
2018-02-15,9840,9840,9840,9840,0,0
2018-02-16,9840,9840,9840,9840,0,0
2018-02-19,9840,9910,9710,9870,15182,0
2018-02-20,9850,9890,9740,9810,528504,0
2018-02-21,9820,9850,9720,9800,7445,0
2018-02-22,9800,9850,9720,9740,2770,0
2018-02-23,9740,9880,9670,9670,9337,0
2018-02-26,9660,9760,9600,9670,7665,0
2018-02-27,9890,9890,9580,9650,7098,0
2018-02-28,9600,10200,9600,9740,51738,0
2018-03-02,9740,9960,9640,9890,22201,0
2018-03-05,9970,9970,9800,9870,14327,0
2018-03-06,9880,9950,9790,9840,25296,0
2018-03-07,9900,10100,9840,9950,74065,0
2018-03-08,9970,10200,9940,10050,37453,0
2018-03-09,10200,10300,10000,10000,30915,0
2018-03-12,10150,10350,10100,10200,39665,0
2018-03-13,10550,11000,10250,10350,527235,0
2018-03-14,10250,10500,10150,10350,50880,0
2018-03-15,10350,10450,10000,10350,78501,0
2018-03-16,10300,10350,10100,10150,21450,0
2018-03-19,10250,10500,10100,10500,47375,0
2018-03-20,10500,10500,10150,10250,19172,0
2018-03-21,10250,10500,9990,10000,163124,0
2018-03-22,10000,10150,9990,10000,40266,0
2018-03-23,10050,10050,9620,9630,164819,0
2018-03-26,9760,10000,9550,9760,32111,0
2018-03-27,9820,9970,9760,9840,13377,0
2018-03-28,9740,9980,9740,9940,25427,0
2018-03-29,0,0,0,0,0,0
2018-03-30,9870,10100,9870,10100,22481,0
2018-04-02,10200,10550,10100,10250,132415,0
2018-04-03,10150,10450,10050,10250,60865,0
2018-04-04,10400,10450,10100,10200,34408,0
2018-04-05,10350,10450,10050,10300,41172,0
2018-04-06,10300,10350,9980,9990,45141,0
2018-04-09,9940,10050,9810,9980,40952,0
2018-04-10,9980,10400,9870,10150,33606,0
2018-04-11,10200,10250,10000,10050,46803,0
2018-04-12,10150,10600,10100,10400,62454,0
2018-04-13,10300,10500,10200,10400,53936,0
2018-04-16,10450,10600,10300,10450,93710,0
2018-04-17,10500,10650,10350,10500,73421,0
2018-04-18,10650,10800,10400,10450,46707,0
2018-04-19,10500,11500,10350,11300,497164,0
2018-04-20,11450,13000,11150,12500,1122216,0
2018-04-23,13000,13750,12100,12750,704152,0
2018-04-24,12750,13650,12200,13250,899520,0
2018-04-25,13300,14500,12550,12850,1421730,0
2018-04-26,12800,13150,12200,12650,282659,0
2018-04-27,12800,12900,12200,12400,247204,0
2018-04-30,12650,14500,12650,14200,991480,0
2018-05-02,14350,14900,13100,13350,647228,0
2018-05-03,13200,13350,12750,13200,231687,0
2018-05-04,13400,13850,13150,13500,236862,0
2018-05-08,13750,14200,13200,13200,367182,0
2018-05-09,13400,13700,12600,13050,173654,0
2018-05-10,13500,13900,12800,13750,278553,0
2018-05-11,14150,14650,13600,14300,444050,0
2018-05-14,14500,16050,14250,15950,748325,0
2018-05-15,15850,15850,14900,15300,499437,0
2018-05-16,14400,14900,13250,13550,357615,0
2018-05-17,13600,14250,13500,13900,217470,0
2018-05-18,13700,14200,13300,14100,123805,0
2018-05-21,14150,14200,13450,13700,117019,0
2018-05-23,13400,13550,12700,12950,213655,0
2018-05-24,13100,13250,12500,12600,238886,0
2018-05-25,11350,11850,11100,11100,994508,0
2018-05-28,12200,13550,12150,13250,547455,0
2018-05-29,12800,13150,12450,12650,187663,0
2018-05-30,12800,13050,12300,12750,118715,0
2018-05-31,12700,13450,12700,13050,182635,0
2018-06-01,13950,14000,12600,12850,364888,0
2018-06-04,13200,13250,12550,12950,97943,0
2018-06-05,12900,12900,11900,12400,200572,0
2018-06-07,13000,13200,12600,12700,242350,0
2018-06-08,12900,12900,12350,12550,104232,0
2018-06-11,12750,13450,12600,13200,126517,0
2018-06-12,13200,13300,12650,13000,129029,0
2018-06-14,12700,13000,12350,13000,207729,0
2018-06-15,12800,13450,12600,13400,200187,0
2018-06-18,13900,15000,13550,13750,1391739,0
2018-06-19,14000,14100,12350,12500,464359,0
2018-06-20,12400,12850,12150,12500,305223,0
2018-06-21,12700,12800,12100,12100,146562,0
2018-06-22,12100,12150,11150,11350,272197,0
2018-06-25,11200,11350,10700,11050,222001,0
2018-06-26,10900,11050,10550,10600,166026,0
2018-06-27,11000,11000,10300,10450,182801,0
2018-06-28,10350,11050,10350,10600,188858,0
2018-06-29,10700,10850,9960,10300,176673,0
2018-07-02,10250,10300,9960,10000,129820,0
2018-07-03,10050,10150,9700,9880,113911,0
2018-07-04,9750,10050,9750,9850,45384,0
2018-07-05,9810,9940,9400,9480,62817,0
2018-07-06,9400,9940,9340,9730,57635,0
2018-07-09,9670,9710,9250,9320,65870,0
2018-07-10,9320,9740,9320,9510,35187,0
2018-07-11,9500,9920,9400,9750,39627,0
2018-07-12,9780,9950,9620,9830,39095,0
2018-07-13,9850,9980,9720,9940,22268,0
2018-07-16,10050,10150,9800,9800,30694,0
2018-07-17,9920,10000,9770,9830,18202,0
2018-07-18,9830,9980,9610,9630,31176,0
2018-07-19,9540,9630,9290,9310,47159,0
2018-07-20,9310,9480,9190,9320,43070,0
2018-07-23,9230,9320,8960,8970,59661,0
2018-07-24,8950,9640,8950,9520,73016,0
2018-07-25,9570,9990,9380,9590,50579,0
2018-07-26,9510,9940,9440,9800,36579,0
2018-07-27,9650,9890,9650,9760,19435,0
2018-07-30,9760,10400,9740,10000,80799,0
2018-07-31,9930,10200,9620,10000,64964,0
2018-08-01,10000,10200,9880,10100,59259,0
2018-08-02,10050,10100,9800,9870,42367,0
2018-08-03,10000,10050,9850,9910,9139,0
2018-08-06,9830,10350,9830,10050,41526,0
2018-08-07,10300,10300,9930,10000,12932,0
2018-08-08,10200,10400,9960,10150,39333,0
2018-08-09,10050,10500,10050,10200,24910,0
2018-08-10,10600,10600,9950,10200,39934,0
2018-08-13,10200,10500,9720,9840,62864,0
2018-08-14,9720,10050,9720,10000,29626,0
2018-08-16,10000,10250,9910,10200,31330,0
2018-08-17,10300,10500,10100,10300,35699,0
2018-08-20,10400,10550,9930,10000,186265,0
2018-08-21,10050,10150,9960,10000,22243,0
2018-08-22,10050,10450,9950,10000,202431,0
2018-08-23,10150,10400,10000,10250,180389,0
2018-08-24,10150,10350,9960,10000,122847,0
2018-08-27,9900,9970,9600,9850,83170,0
2018-08-28,9950,9950,9780,9780,35984,0
2018-08-29,9700,9830,9700,9780,16040,0
2018-08-30,9810,10200,9810,10050,58784,0
2018-08-31,10050,10200,9860,10050,39313,0
2018-09-03,10100,10150,9990,10100,21233,0
2018-09-04,10050,10250,10000,10150,24488,0
2018-09-05,10150,10450,10100,10350,76122,0
2018-09-06,10450,10500,9950,10000,106886,0
2018-09-07,10000,10300,9980,10200,44693,0
2018-09-10,10350,10600,10200,10550,66755,0
2018-09-11,10700,10800,10400,10700,63913,0
2018-09-12,10800,10850,10450,10500,37762,0
2018-09-13,10650,11050,10450,10850,81288,0
2018-09-14,11100,11100,10600,10600,62029,0
2018-09-17,10550,10700,10200,10400,39333,0
2018-09-18,10450,10650,10200,10400,25413,0
2018-09-19,10300,10450,9880,9950,133776,0
2018-09-20,10000,10150,9810,9850,64338,0
2018-09-21,9780,9970,9780,9930,17246,0
2018-09-27,9980,9980,9910,9930,17469,0
2018-09-28,9830,9950,9830,9920,33064,0
2018-10-01,9850,9930,9760,9790,31148,0
2018-10-02,9790,9890,9700,9820,15353,0
2018-10-04,9890,9890,9600,9700,21387,0
2018-10-05,9680,9770,9300,9350,58003,0
2018-10-08,9300,9450,9300,9300,12031,0
2018-10-10,9250,9280,8870,8910,69081,0
2018-10-11,8510,8680,8010,8280,45793,0
2018-10-12,7930,8480,7930,8370,35162,0
2018-10-15,8260,8390,8260,8260,8012,0
2018-10-16,8300,9120,8220,9110,99483,0
2018-10-17,9000,9220,8900,9220,49084,0
2018-10-18,9220,9330,8930,8930,12224,0
2018-10-19,8940,9070,8750,8880,12003,0
2018-10-22,8870,9820,8800,9400,69035,0
2018-10-23,9450,9450,8890,8900,21534,0
2018-10-24,9060,9340,8800,9040,26464,0
2018-10-25,8600,8900,8490,8720,25754,0
2018-10-26,8660,8880,8350,8560,19258,0
2018-10-29,8550,8800,7090,7510,81773,0
2018-10-30,6950,9060,6950,9000,162461,0
