Date,Open,High,Low,Close,Volume,Adj_Close
2017-12-27,0,0,0,0,0,0
2018-01-02,145000,147000,141000,143000,6979,0
2018-01-03,143000,146000,143000,143000,4585,0
2018-01-04,143000,146500,142500,142500,5156,0
2018-01-05,143500,143500,139500,139500,3999,0
2018-01-08,140000,145000,139000,142500,5676,0
2018-01-09,141500,147000,141500,146500,4649,0
2018-01-10,145500,153500,144500,147000,10523,0
2018-01-11,149500,151000,145000,150000,7529,0
2018-01-12,148500,156000,148000,155000,8215,0
2018-01-15,155000,158000,149500,153500,8069,0
2018-01-16,151000,153500,149000,149000,6816,0
2018-01-17,147500,149500,146500,147500,4220,0
2018-01-18,146500,150000,145000,150000,6104,0
2018-01-19,147000,155500,147000,152500,5873,0
2018-01-22,153000,154000,145000,148500,8615,0
2018-01-23,148500,157000,146000,155500,7878,0
2018-01-24,155000,163000,155000,159500,7445,0
2018-01-25,156500,169500,156500,169000,10691,0
2018-01-26,169000,176000,169000,172500,15255,0
2018-01-29,175500,177000,169500,170000,15605,0
2018-01-30,170000,179000,169500,170000,14520,0
2018-01-31,171000,171000,162000,166500,12402,0
2018-02-01,165500,167500,164000,167000,7760,0
2018-02-02,165000,167000,152000,154000,15684,0
2018-02-05,154000,157000,148000,150000,11842,0
2018-02-06,150000,151500,142500,148000,11880,0
2018-02-07,146000,149500,138500,138500,11324,0
2018-02-08,138500,143000,138000,140500,11640,0
2018-02-09,134000,145500,134000,142000,21518,0
2018-02-12,140000,142000,132500,134000,16444,0
2018-02-13,132000,134000,128000,128500,12868,0
2018-02-14,131500,131500,124500,128500,14099,0
2018-02-19,128500,132000,127000,130000,9603,0
2018-02-20,130000,131500,125000,126000,11502,0
2018-02-21,127000,128500,124000,126000,6618,0
2018-02-22,126000,126500,122000,125000,10953,0
2018-02-23,126000,129000,123500,128000,10120,0
2018-02-26,128500,128500,126000,128000,6160,0
2018-02-27,127000,128000,126000,127500,8048,0
2018-02-28,126500,128000,125500,127500,11860,0
2018-03-02,125500,126500,122000,124000,15186,0
2018-03-05,122500,128500,122500,125000,12337,0
2018-03-06,127500,127500,122500,124000,10772,0
2018-03-07,122000,124000,117500,120000,18500,0
2018-03-08,121000,122000,116500,121000,17230,0
2018-03-09,121000,125000,119000,124000,20977,0
2018-03-12,124500,124500,120500,123000,14204,0
2018-03-13,121500,122500,120000,120000,12013,0
2018-03-14,120000,121500,118000,119500,9409,0
2018-03-15,120000,123000,118500,122500,12919,0
2018-03-16,123000,123000,119500,119500,12855,0
2018-03-19,121000,122500,119500,122000,18716,0
2018-03-20,121000,122500,118000,118000,15069,0
2018-03-21,117500,118000,115000,115000,10256,0
2018-03-22,115000,116500,112500,113500,13839,0
2018-03-23,111500,113500,110500,110500,17965,0
2018-03-26,110500,111000,106500,107500,19295,0
2018-03-27,108000,109000,105500,105500,19985,0
2018-03-28,107000,109000,103000,107500,18756,0
2018-03-29,107500,108000,104500,108000,8223,0
2018-03-30,108500,112500,107500,111000,18202,0
2018-04-02,112500,115500,109000,110000,19055,0
2018-04-03,109000,109000,106000,108000,13155,0
2018-04-04,107000,109500,104500,106000,18600,0
2018-04-05,106500,112000,106500,110000,14169,0
2018-04-06,110000,115000,107500,114000,18056,0
2018-04-09,112500,115000,111000,114500,22276,0
2018-04-10,113500,117000,111500,116000,34589,0
2018-04-11,114000,117500,114000,115000,24875,0
2018-04-12,115000,120000,114500,119000,16964,0
2018-04-13,119500,120500,117000,117000,20463,0
2018-04-16,117000,119500,116000,117500,17317,0
2018-04-17,117000,121000,115500,120000,16162,0
2018-04-18,120500,129500,120000,127500,35450,0
2018-04-19,130500,154000,130000,147500,92258,0
2018-04-20,154500,158500,139500,157000,80250,0
2018-04-23,162500,174000,154500,159000,86790,0
2018-04-24,156000,161500,150000,157000,41802,0
2018-04-25,157000,157000,148500,149500,44033,0
2018-04-26,147000,163500,145000,155500,35990,0
2018-04-27,154000,160500,149000,153500,27679,0
2018-04-30,158000,172000,158000,166000,43040,0
2018-05-02,183000,197000,161500,169000,67526,0
2018-05-03,163500,169500,157000,161500,45102,0
2018-05-04,160000,179500,157000,169000,33784,0
2018-05-08,167000,175500,165500,168500,51705,0
2018-05-09,170500,171500,163000,167500,24586,0
2018-05-10,171000,173000,167500,172000,34569,0
2018-05-11,170500,171500,163500,169000,47009,0
2018-05-14,172500,194000,167500,190000,149471,0
2018-05-15,193500,193500,173500,178000,117646,0
2018-05-16,161500,178500,161500,166500,66755,0
2018-05-17,166500,179000,165500,169500,94691,0
2018-05-18,169500,173000,159000,162500,60525,0
2018-05-21,162000,166000,157000,164500,33573,0
2018-05-23,159500,166500,154500,162000,36373,0
2018-05-24,164000,169000,158500,162000,29530,0
2018-05-25,145000,159000,144500,155500,58112,0
2018-05-28,175500,201500,174500,201500,144510,0
2018-05-29,200500,200500,175000,175000,76899,0
2018-05-30,180000,186500,168500,176000,48368,0
2018-05-31,180500,180500,168500,170500,43072,0
2018-06-01,167500,177000,163000,173500,41443,0
2018-06-04,178500,181000,167500,171500,27871,0
2018-06-05,169000,175500,162500,170000,41950,0
2018-06-07,169500,172000,160000,162500,40445,0
2018-06-08,163500,168000,160000,165500,32676,0
2018-06-11,165500,172000,163500,169000,31748,0
2018-06-12,169000,169000,158000,160500,45761,0
2018-06-14,158000,159500,149500,154000,39522,0
2018-06-15,153500,163000,153500,154500,38602,0
2018-06-18,154500,162000,154500,161500,20079,0
2018-06-19,162000,162500,154000,155000,23250,0
2018-06-20,154500,160500,152500,158500,18952,0
2018-06-21,156000,156500,147000,148500,22442,0
2018-06-22,148000,151000,137000,150000,53326,0
