Date,Open,High,Low,Close,Volume,Adj_Close
2017-12-27,0,0,0,0,0,0
2018-01-02,10950,11250,10850,11050,334027,0
2018-01-03,11150,11750,11150,11550,841602,0
2018-01-04,11700,12000,11550,11600,649292,0
2018-01-05,11700,11800,11450,11600,295974,0
2018-01-08,11600,11900,11600,11750,511482,0
2018-01-09,11800,12200,11750,12200,700070,0
2018-01-10,12400,12850,12200,12700,988801,0
2018-01-11,12700,12750,11800,11950,994945,0
2018-01-12,12000,12600,12000,12350,627955,0
2018-01-15,12750,12800,12000,12100,536974,0
2018-01-16,12050,12200,11700,11950,443302,0
2018-01-17,11850,12050,11500,11750,427651,0
2018-01-18,11750,11850,11500,11650,301033,0
2018-01-19,11600,11900,11600,11900,381450,0
2018-01-22,11800,11900,11350,11550,435667,0
2018-01-23,11550,11750,11500,11650,264778,0
2018-01-24,11650,12200,11600,12100,617689,0
2018-01-25,12050,12250,11800,12250,459091,0
2018-01-26,12250,12250,11900,12050,463034,0
2018-01-29,12050,12700,12000,12600,1070750,0
2018-01-30,12550,12750,12250,12250,445660,0
2018-01-31,12100,12250,11750,12150,430196,0
2018-02-01,12050,12700,12000,12600,810285,0
2018-02-02,12450,12600,12250,12450,533605,0
2018-02-05,12050,12200,11850,11850,558396,0
2018-02-06,11400,11900,11350,11800,527524,0
2018-02-07,11900,12100,11450,11500,377175,0
2018-02-08,11500,11750,11450,11600,281676,0
2018-02-09,11250,11600,11150,11550,340573,0
2018-02-12,11550,11700,11350,11550,279790,0
2018-02-13,11600,11650,11150,11150,305136,0
2018-02-14,11150,11300,11100,11200,224941,0
2018-02-19,10500,11150,10350,11100,720765,0
2018-02-20,11050,11250,10850,10900,240249,0
2018-02-21,11050,11150,10800,10850,247168,0
2018-02-22,10800,10900,10600,10650,225994,0
2018-02-23,10650,10900,10450,10800,638934,0
2018-02-26,10900,11200,10700,10750,1468431,0
2018-02-27,10850,11100,10800,11050,351020,0
2018-02-28,10950,11000,10650,10750,270800,0
2018-03-02,10500,10650,10150,10200,707983,0
2018-03-05,10200,10350,10050,10100,384003,0
2018-03-06,10300,10350,10100,10100,332648,0
2018-03-07,10150,10400,9800,9800,965909,0
2018-03-08,9880,10300,9880,10300,474716,0
2018-03-09,10050,10150,9930,10100,584604,0
2018-03-12,10200,10300,10050,10250,371638,0
2018-03-13,10150,10250,10100,10200,222922,0
2018-03-14,10150,10200,10000,10050,287498,0
2018-03-15,10100,10150,9850,10100,359671,0
2018-03-16,10100,10150,9940,10000,288339,0
2018-03-19,10150,10900,10100,10500,1831975,0
2018-03-20,10550,10600,10200,10200,822820,0
2018-03-21,10300,10350,10150,10300,301219,0
2018-03-22,10450,10600,10100,10300,594740,0
2018-03-23,10500,10800,9880,9880,1394856,0
2018-03-26,10150,10350,10050,10100,713480,0
2018-03-27,10250,10700,10200,10650,733890,0
2018-03-28,10450,10550,10200,10250,510629,0
2018-03-29,10250,10350,10100,10250,272749,0
2018-03-30,10300,10300,10100,10100,316991,0
