Date,Open,High,Low,Close,Volume,Adj_Close
2017-05-12,165000,171500,157000,162000,6368916,161683
2017-05-15,159000,165500,158000,160000,1504154,160000
2017-05-16,161500,162500,156000,156000,1146762,156000
2017-05-17,153000,154500,142000,144000,2006418,144000
2017-05-18,144000,149500,142000,148000,1587826,148000
2017-05-19,147500,149500,143500,143500,680357,143500
2017-05-22,143000,143500,138000,140000,1133489,140000
2017-05-23,141000,144000,139000,143500,634619,143500
2017-05-24,145000,146000,143500,145000,473540,145000
2017-05-25,145500,146000,141000,144000,492961,144000
2017-05-26,143500,143500,139500,142000,791714,142000
2017-05-29,142000,147000,140500,147000,675099,147000
2017-05-30,147000,149500,146500,149500,576607,149500
2017-05-31,150000,152000,148500,152000,1989706,152000
2017-06-01,152000,155000,150000,151500,405486,151500
2017-06-02,152500,160000,152500,158500,1005171,158500
2017-06-05,159000,161000,158000,161000,578458,161000
2017-06-07,161000,161000,155000,160500,639485,160500
2017-06-08,161000,161000,152500,153500,1255870,153500
2017-06-09,153000,153000,147000,149000,822530,149000
2017-06-12,143000,146000,141000,141500,1361725,141500
2017-06-13,142000,145500,141500,145500,518659,145500
2017-06-14,146000,146500,143000,143000,284894,143000
2017-06-15,144000,149000,143500,147500,515357,147500
2017-06-16,149500,154000,149000,152000,665089,152000
2017-06-19,151500,152000,146500,150500,420046,150500
2017-06-20,149500,153500,147000,153500,439121,153500
2017-06-21,154000,155000,150000,153000,320623,153000
2017-06-22,152000,154500,151000,151500,274429,151500
2017-06-23,153000,155000,152500,153500,262224,153500
2017-06-26,154000,155500,151500,152500,256090,152500
2017-06-27,152000,153500,148000,150000,246479,150000
2017-06-28,150500,152500,149000,149000,177019,149000
2017-06-29,149500,155000,149500,155000,305111,155000
2017-06-30,154000,156500,153500,155000,208103,155000
2017-07-03,155000,156000,152000,152500,177684,152500
2017-07-04,153000,154000,151500,152500,125481,152500
2017-07-05,152500,152500,149000,149500,173393,149500
2017-07-06,149500,151000,147500,148000,165756,148000
2017-07-07,149500,156000,149000,155000,452333,155000
2017-07-10,154500,154500,150500,151000,151964,151000
2017-07-11,151000,152000,148500,148500,190487,148500
2017-07-12,149000,150500,144500,145000,340497,145000
2017-07-13,146500,147000,144500,145000,209308,145000
2017-07-14,146000,147000,144500,145500,148846,145500
2017-07-17,145500,146500,144500,145500,102387,145500
2017-07-18,146000,146500,144500,145000,115522,145000
