Date,Open,High,Low,Close,Volume,Adj_Close
2018-12-24,60100,78100,60000,78100,2053101,78100
2018-12-26,76500,78800,69000,70000,1297509,70000
2018-12-27,75300,81900,74100,75700,707240,75700
2018-12-28,76400,93300,75000,87000,1054643,87000
2019-01-02,89200,96500,86800,88700,484014,88700
2019-01-03,88700,89700,82000,88000,255762,88000
2019-01-04,87500,101200,85300,101200,444357,101200
2019-01-07,104000,109000,99900,100200,310797,100200
2019-01-08,98300,100500,91500,92900,242989,92900
2019-01-09,93800,95500,88200,93600,255628,93600
2019-01-10,92200,99000,90000,97700,190162,97700
2019-01-11,99000,99000,92000,92000,115880,92000
2019-01-14,91100,91200,85700,86200,84536,86200
2019-01-15,86700,88600,85100,86200,61933,86200
2019-01-16,87300,87700,81500,86700,97792,86700
2019-01-17,85600,87400,82800,82800,45112,82800
2019-01-18,82500,83500,78800,80300,80826,80300
2019-01-21,79100,79600,74800,75200,103613,75200
2019-01-22,75900,84000,75000,80300,206635,80300
2019-01-23,80300,88000,78600,83500,178483,83500
2019-01-24,82800,84800,81400,83800,92032,83800
2019-01-25,83200,85800,82500,82900,37954,82900
2019-01-28,83800,89400,82900,85100,143892,85100
2019-01-29,84700,87000,84400,86200,60916,86200
2019-01-30,86300,86800,80600,81600,98380,81600
2019-01-31,82000,83700,80700,82400,39146,82400
2019-02-01,82500,86500,80800,86500,54563,86500
2019-02-07,86700,94700,86500,92300,124382,92300
2019-02-08,92300,94800,90600,94600,55303,94600
2019-02-11,94600,102000,94100,98800,129564,98800
2019-02-12,99000,101000,94700,94900,92201,94900
2019-02-13,95800,96900,93600,95800,38397,95800
2019-02-14,96200,96500,91600,93200,54641,93200
2019-02-15,92300,98200,92200,96400,57007,96400
2019-02-18,96900,98000,92900,94000,48394,94000
2019-02-19,94100,94500,90300,93200,44483,93200
2019-02-20,92800,96200,91200,94500,61047,94500
2019-02-21,93700,96500,93400,94000,31182,94000
2019-02-22,93600,94800,91500,93500,40477,93500
2019-02-25,93500,94000,91200,91500,59586,91500
2019-02-26,92000,94000,91200,91800,50585,91800
2019-02-27,91900,92800,90400,92500,44799,92500
2019-02-28,93900,102100,93500,97800,306877,97800
2019-03-04,102000,113700,102000,113700,306753,113700
2019-03-05,113000,119700,111300,115400,175180,115400
2019-03-06,115200,124500,112000,124500,160454,124500
2019-03-07,122500,137700,122100,124500,370950,124500
2019-03-08,122300,131000,122200,128100,121212,128100
2019-03-11,130000,135700,125500,134000,188821,134000
2019-03-12,136900,136900,130000,133900,175069,133900
2019-03-13,133700,138500,131000,132200,110426,132200
