Date,Open,High,Low,Close,Volume,Adj_Close
2017-10-31,26600,33550,24300,27000,6886323,27000
2017-11-01,28500,30500,27150,27900,1617389,27900
2017-11-02,27900,28450,25350,25400,702491,25400
2017-11-03,25050,25100,23000,24050,673430,24050
2017-11-06,25350,25350,23000,23600,377441,23600
2017-11-07,23450,27450,23150,25550,918621,25550
2017-11-08,26550,33050,26450,29200,4459239,29200
2017-11-09,28600,28650,26850,27300,766090,27300
2017-11-10,27150,27800,26850,27500,387913,27500
2017-11-13,27350,27650,25600,26050,356453,26050
2017-11-14,26900,27500,26400,26600,294734,26600
2017-11-15,26700,26700,24850,25150,309288,25150
2017-11-16,25100,27200,24600,26500,365808,26500
2017-11-17,26750,27700,26100,27100,287968,27100
2017-11-20,26750,27550,26350,27450,166467,27450
2017-11-21,27450,29300,27000,29200,410081,29200
2017-11-22,29550,32200,28700,31950,722825,31950
2017-11-23,33400,40300,32850,37250,2684695,37250
2017-11-24,38500,39200,35100,35300,785172,35300
2017-11-27,34750,36950,33750,34150,351375,34150
2017-11-28,33800,37300,33050,36150,453963,36150
2017-11-29,35300,38600,34950,35050,378414,35050
2017-11-30,34700,35750,32900,32950,263680,32950
2017-12-01,32950,34900,32050,33950,190178,33950
2017-12-04,33650,34800,32550,32600,101895,32600
2017-12-05,32200,32850,31150,31500,111522,31500
2017-12-06,31350,33500,31100,31600,123395,31600
2017-12-07,31700,34000,31150,32950,159129,32950
2017-12-08,33950,35300,33300,33750,157201,33750
2017-12-11,33300,34550,32750,34550,73689,34550
2017-12-12,34550,34900,33750,33850,52847,33850
2017-12-13,33750,34450,33300,34050,75409,34050
2017-12-14,34050,34050,32400,32900,86197,32900
2017-12-15,32300,32700,30250,30800,119263,30800
2017-12-18,31100,31450,30500,30850,48375,30850
2017-12-19,30600,30850,28800,29300,100050,29300
2017-12-21,29800,31050,29800,30100,34458,30100
2017-12-22,30150,31400,30100,31400,28533,31400
2017-12-26,31000,31100,29500,29500,59038,29500
2017-12-27,30050,31500,29000,31150,33876,31150
2017-12-28,31500,32000,30300,32000,44726,32000
2018-01-02,32000,32500,31000,31250,39072,31250
2018-01-03,31450,32400,30450,32300,55636,32300
2018-01-04,32500,33000,32000,32000,34449,32000
2018-01-05,32500,33050,31500,33050,57480,33050
2018-01-08,33250,33450,32000,32600,35235,32600
2018-01-09,32350,33800,32350,32700,51997,32700
2018-01-10,32500,33800,31350,31950,42018,31950
2018-01-11,31950,32000,30900,31600,27307,31600
2018-01-12,31750,31900,29800,30600,55846,30600
2018-01-15,31000,31200,29750,29850,40391,29850
2018-01-16,30400,30700,29500,30450,35644,30450
2018-01-17,30200,30900,29850,30700,28582,30700
2018-01-18,31000,31600,30400,30700,41862,30700
2018-01-19,30750,31100,30000,30600,25756,30600
2018-01-22,30600,30600,29100,29600,48439,29600
2018-01-23,30150,30300,28050,29000,108754,29000
2018-01-24,29250,29250,27700,28200,104899,28200
2018-01-25,28350,28950,27850,28400,86043,28400
2018-01-26,28750,28850,28250,28450,45520,28450
2018-01-29,28500,29700,28500,29150,74143,29150
2018-01-30,29400,29500,27900,28250,92609,28250
2018-01-31,28050,28250,27350,27950,38256,27950
