Date,Open,High,Low,Close,Volume,Adj_Close
2014-08-07,26750,26750,26750,26750,0,25903
2014-08-08,29000,29000,24650,26750,2148924,25903
2014-08-11,27200,27800,24700,24800,747300,24015
2014-08-12,25100,26200,24200,25700,515081,24886
2014-08-13,25500,26150,24750,25000,366273,24208
2014-08-14,25200,27700,25000,26450,626997,25612
2014-08-18,26450,27250,25650,25650,284522,24838
2014-08-19,25650,26300,25400,25700,280744,24886
2014-08-20,25850,25950,24600,24900,306546,24111
2014-08-21,24950,25050,24350,24350,153733,23579
2014-08-22,24500,25400,24400,24600,150171,23821
2014-08-25,24600,25200,21500,21500,552084,20819
2014-08-26,21500,22950,21250,22850,254176,22126
2014-08-27,23000,23500,22400,23000,167869,22272
2014-08-28,23000,23250,22100,23250,161430,22514
2014-08-29,23000,23850,22900,23400,114629,22659
2014-09-01,22950,22950,20100,20800,472812,20141
2014-09-02,20600,21250,19900,20550,243327,19899
2014-09-03,20650,20900,20450,20550,126411,19899
2014-09-04,20700,20800,19200,19350,294327,18737
2014-09-05,19350,20050,19000,19700,140565,19076
2014-09-11,19700,20000,19600,19700,110907,19076
2014-09-12,19850,20250,18850,20000,201425,19367
2014-09-15,20000,20000,19300,19650,122650,19028
2014-09-16,19700,20850,19500,20750,206627,20093
2014-09-17,20750,21300,20550,20850,283540,20190
2014-09-18,20850,21450,20600,21200,170837,20529
2014-09-19,21250,21450,20900,21200,117998,20529
2014-09-22,21050,21500,20850,21250,82940,20577
2014-09-23,21150,21500,20900,21500,92781,20819
2014-09-24,21350,21500,21000,21350,129854,20674
2014-09-25,21400,21500,20350,21100,190409,20432
2014-09-26,20600,21300,20350,20750,130783,20093
2014-09-29,20750,23300,20500,22850,321883,22126
2014-09-30,22900,24100,22550,23300,274203,22562
2014-10-01,23050,24000,22800,23650,154169,22901
2014-10-02,23650,24900,23350,24850,309830,24063
2014-10-06,24850,25100,24200,24600,162635,23821
2014-10-07,24350,24650,23500,24000,129429,23240
2014-10-08,23650,23900,23000,23150,147742,22417
2014-10-10,23150,23450,22650,22900,80699,22175
2014-10-13,22900,23250,21900,22550,100473,21836
2014-10-14,22400,22900,21400,21800,147501,21110
2014-10-15,22200,22400,21300,21300,108169,20625
2014-10-16,21150,22100,20950,21200,123529,20529
2014-10-17,21450,22050,21200,22050,75637,21352
2014-10-20,21950,23400,21950,22800,121133,22078
2014-10-21,22900,23050,22200,22600,97497,21884
2014-10-22,23050,23200,21600,21600,148251,20916
2014-10-23,21600,22300,20000,21100,236270,20432
2014-10-24,21100,21300,20150,20200,119648,19560
2014-10-27,20350,20400,19400,19800,125770,19173
2014-10-28,19800,20150,19000,19150,154615,18543
2014-10-29,19400,19450,17900,18200,237244,17623
2014-10-30,18100,18650,17100,17800,261805,17236
2014-10-31,17800,18200,17450,17900,78816,17333
2014-11-03,17850,18150,16350,17200,371384,16655
2014-11-04,16800,17050,15850,16100,234219,15590
2014-11-05,15950,16350,15650,15650,108036,15154
2014-11-06,15650,17900,15450,17600,340241,17042
2014-11-07,17600,18100,16950,17200,167209,16655
2014-11-10,17500,18150,17000,17500,259115,16946
2014-11-11,17600,17950,17000,17600,144563,17042
2014-11-12,17650,17700,16950,17000,299804,16461
2014-11-13,17150,17300,16850,17000,129788,16461
2014-11-14,16800,16950,16200,16200,227550,15687
2014-11-17,16200,16700,15900,16300,124133,15784
2014-11-18,16400,16850,16300,16650,86978,16123
2014-11-19,16750,16850,16400,16450,49987,15929
2014-11-20,16450,16700,16250,16650,63561,16123
2014-11-21,16700,16900,16500,16700,74205,16171
2014-11-24,16800,16850,16450,16750,66657,16219
2014-11-25,16800,17250,16700,16950,139441,16413
2014-11-26,17100,17150,16750,17100,55733,16558
2014-11-27,17100,17150,16850,16950,58773,16413
2014-11-28,16800,16950,16450,16650,51289,16123
2014-12-01,16600,16650,16150,16300,80684,15784
2014-12-02,16150,16600,16150,16550,41827,16026
2014-12-03,16600,16600,16200,16200,86113,15687
2014-12-04,16150,16450,15900,16350,109650,15832
2014-12-05,16350,16500,16200,16350,49061,15832
2014-12-08,16350,16500,16200,16250,29354,15735
2014-12-09,16200,16500,16200,16350,38506,15832
2014-12-10,16400,16450,16150,16400,66767,15880
2014-12-11,16300,16500,15850,15950,109847,15445
2014-12-12,15850,16600,15850,16000,57758,15493
2014-12-15,15950,16150,15650,15900,81710,15396
2014-12-16,15750,15850,15350,15400,63265,14912
2014-12-17,15400,15450,14150,14300,189525,13847
2014-12-18,14300,14450,13250,13450,305750,13024
2014-12-19,13450,13750,12650,12750,283613,12346
2014-12-22,12950,13200,12350,12500,313690,12104
2014-12-23,12650,12950,12300,12450,220528,12055
2014-12-24,12550,12800,12350,12450,218159,12055
2014-12-26,12450,12800,12350,12650,259260,12249
2014-12-29,12600,13300,12600,13250,208653,12984
2014-12-30,13250,13750,13050,13750,195195,13474
2015-01-02,13750,13800,13300,13600,100841,13327
2015-01-05,13450,13600,13100,13200,147545,12935
2015-01-06,13050,13400,13000,13350,103502,13082
2015-01-07,13400,14050,13200,13950,134349,13670
2015-01-08,14050,14050,13600,13900,55397,13621
2015-01-09,14100,14300,13700,14050,110317,13768
2015-01-12,14050,14700,13950,14550,108864,14258
2015-01-13,14600,14700,14150,14550,77650,14258
2015-01-14,14450,14450,13900,14050,90700,13768
2015-01-15,13700,14250,13700,14000,70417,13719
2015-01-16,14050,14100,13300,13450,168772,13180
2015-01-19,13550,13650,13200,13450,112251,13180
2015-01-20,13350,13650,13100,13350,103084,13082
2015-01-21,13350,13350,12750,12900,103028,12641
2015-01-22,12800,13250,12550,12750,135299,12494
2015-01-23,12900,12950,12600,12650,82409,12396
2015-01-26,12600,12750,11950,12050,168964,11808
2015-01-27,11900,12200,11700,11950,158998,11710
2015-01-28,11900,12450,11900,12350,131680,12102
2015-01-29,12250,12400,12150,12300,75025,12053
2015-01-30,12300,12300,11900,12050,120115,11808
2015-02-02,11950,12300,11950,12300,120814,12053
2015-02-03,12350,12450,12150,12200,91913,11955
2015-02-04,12300,12750,12200,12550,138248,12298
2015-02-05,12500,12800,12250,12300,115268,12053
2015-02-06,12350,12600,12300,12600,72135,12347
2015-02-09,12600,12650,12150,12200,105502,11955
2015-02-10,12200,12350,11950,12100,136426,11857
2015-02-11,12150,12150,11950,12000,40807,11759
2015-02-12,12000,12150,11950,12000,55929,11759
2015-02-13,12100,12500,12050,12250,74560,12004
2015-02-16,12300,12500,12250,12300,63524,12053
2015-02-17,12400,12950,12250,12700,101012,12445
2015-02-23,12700,13500,12700,13300,134557,13033
2015-02-24,13150,13600,13100,13350,102382,13082
2015-02-25,13400,13600,13050,13500,115003,13229
2015-02-26,13400,13750,13400,13550,86272,13278
2015-02-27,13450,13700,13450,13550,87088,13278
2015-03-02,13550,13800,13150,13750,121787,13474
2015-03-03,13900,14950,13700,14700,351220,14405
2015-03-04,14950,15050,14250,14250,234194,13964
2015-03-05,14400,14700,14200,14500,202703,14209
2015-03-06,14400,14800,14150,14550,159164,14258
2015-03-09,14550,15000,14400,14600,162947,14307
2015-03-10,16000,16750,15800,16750,569875,16414
2015-03-11,16550,18600,16200,17750,1159159,17394
2015-03-12,17950,18200,17200,17300,404892,16953
2015-03-13,17450,17550,16800,17300,179048,16953
2015-03-16,17300,17500,16500,16650,230136,16316
2015-03-17,16750,17200,16450,16850,237773,16512
