Date,Open,High,Low,Close,Volume,Adj_Close
2016-12-12,6570,6570,5560,5950,3687281,5950
2016-12-13,0,0,0,0,0,0
2016-12-14,6790,8080,6750,7270,8670461,7270
2016-12-15,7160,7740,7090,7090,3403790,7090
2016-12-16,7300,7410,6980,7010,875369,7010
2016-12-19,7010,7790,6860,7440,2801793,7440
2016-12-20,7460,7750,6930,7080,1265017,7080
2016-12-21,7050,7320,7030,7030,695579,7030
2016-12-22,7030,7440,6980,7270,867369,7270
2016-12-23,7270,8250,7230,7750,3349802,7750
2016-12-26,7750,8690,7670,8240,3207762,8240
2016-12-27,8300,8760,8200,8300,1003410,8300
2016-12-28,8390,8700,8200,8680,724872,8680
2016-12-29,8680,9600,8540,9160,1444006,9160
2017-01-02,9330,10100,9280,9870,1372209,9870
2017-01-03,10100,11350,9930,10900,1645553,10900
2017-01-04,11000,11000,10200,10200,1533690,10200
2017-01-05,10200,10900,9800,10800,1250244,10800
2017-01-06,10700,11500,10550,10800,833698,10800
2017-01-09,10800,11200,10500,10700,484723,10700
2017-01-10,10700,11500,10600,11400,1041659,11400
2017-01-11,11450,11700,11050,11200,471199,11200
2017-01-12,11200,11350,10800,10800,574224,10800
2017-01-13,10800,11050,10550,10700,408860,10700
2017-01-16,10700,10700,9970,10100,513106,10100
2017-01-17,9930,10300,9810,9880,376782,9880
2017-01-18,9700,10200,9700,10050,251090,10050
2017-01-19,10200,10550,9980,9990,342987,9990
2017-01-20,10100,10550,9750,10550,480167,10550
2017-01-23,10500,10750,10300,10400,362804,10400
2017-01-24,10350,10400,10000,10200,406886,10200
2017-01-25,10400,10600,10100,10400,371847,10400
2017-01-26,10450,10850,10400,10500,678171,10500
2017-01-31,10450,10650,10300,10500,296109,10500
2017-02-01,10650,11600,10650,11100,2041332,11100
2017-02-02,10950,11100,10600,10600,457496,10600
2017-02-03,10600,10700,10000,10300,414997,10300
2017-02-06,10500,10500,10000,10050,201429,10050
2017-02-07,10100,10200,9570,9700,302203,9700
2017-02-08,9900,10250,9830,10250,212197,10250
2017-02-09,10300,10400,9990,10050,298171,10050
2017-02-10,10000,10300,9710,9710,226129,9710
2017-02-13,9710,9710,9130,9260,284858,9260
2017-02-14,9260,9320,8990,9160,163669,9160
2017-02-15,9180,9350,9060,9300,110031,9300
2017-02-16,9380,9460,9110,9260,150891,9260
2017-02-17,9470,9480,9180,9340,147540,9340
2017-02-20,9380,9380,9160,9260,126497,9260
2017-02-21,9260,9260,9000,9030,173210,9030
2017-02-22,0,0,0,0,0,0
2017-02-23,9040,9170,8550,8730,237102,8730
2017-02-24,8730,8730,8090,8150,327667,8150
2017-02-27,8190,8270,7930,8010,152468,8010
2017-02-28,8010,8940,8010,8440,699958,8440
2017-03-02,8440,8480,8150,8150,100224,8150
2017-03-03,8290,8290,7850,8050,163325,8050
2017-03-06,7910,8320,7900,8300,94048,8300
2017-03-07,0,0,0,0,0,0
2017-03-08,8530,9780,8440,9300,2281599,9300
2017-03-09,9310,9400,8980,9050,557783,9050
2017-03-10,9140,9370,8850,9280,463157,9280
2017-03-13,9200,9230,8950,8970,327304,8970
2017-03-14,9050,10800,9050,9650,3258353,9650
2017-03-15,9730,9760,9380,9420,386191,9420
2017-03-16,9550,9740,9060,9250,326196,9250
2017-03-17,9250,9630,9220,9420,289322,9420
2017-03-20,9350,9400,8950,9150,145380,9150
2017-03-21,9190,9190,8970,9000,120820,9000
2017-03-22,8840,9260,8820,9070,225512,9070
2017-03-23,9050,9160,8830,8850,110077,8850
2017-03-24,0,0,0,0,0,0
2017-03-27,9000,9100,8860,8880,105706,8880
2017-03-28,8900,9020,8830,8840,100535,8840
2017-03-29,8760,9460,8760,9280,373105,9280
2017-03-30,9290,9390,9130,9250,80997,9250
2017-03-31,9260,9650,8950,8950,347788,8950
2017-04-03,8910,9240,8900,9210,178861,9210
2017-04-04,9220,9520,9140,9400,214353,9400
2017-04-05,9500,9740,9430,9530,256510,9530
2017-04-06,9580,9600,9390,9570,176718,9570
2017-04-07,0,0,0,0,0,0
2017-04-10,0,0,0,0,0,0
2017-04-11,9350,10200,9350,10050,1284667,10050
2017-04-12,10300,10400,9920,10150,637101,10150
2017-04-13,10200,10600,9970,10400,576613,10400
2017-04-14,0,0,0,0,0,0
2017-04-17,10100,10500,10000,10500,324914,10500
2017-04-18,0,0,0,0,0,0
2017-04-19,0,0,0,0,0,0
2017-04-20,11150,11550,11000,11200,658758,11200
