Date,Open,High,Low,Close,Volume,Adj_Close
2016-06-23,37000,48100,37000,48100,179379,47935
2016-06-24,55800,62500,52200,62500,5304838,62285
2016-06-27,62000,65600,54800,55500,2314746,55309
2016-06-28,53800,55300,49300,50600,1831899,50426
2016-06-29,52900,53700,50100,50500,759131,50327
2016-06-30,50500,50700,47900,48200,625622,48034
2016-07-01,48900,50000,48600,49150,506531,48981
2016-07-04,49700,51800,49100,49200,506374,49031
2016-07-05,50200,50600,49350,49850,206286,49679
2016-07-06,49650,49800,46600,46600,399430,46440
2016-07-07,46700,46900,44000,45100,370580,44945
2016-07-08,44150,51800,43700,48000,1948890,47835
2016-07-11,48700,48900,45850,45950,347788,45792
2016-07-12,45450,45750,44200,44500,290647,44347
2016-07-13,45250,45650,44150,44150,170470,43998
2016-07-14,44050,44650,42750,42750,187770,42603
2016-07-15,42750,42800,40700,41200,218506,41058
2016-07-18,40950,43750,40850,41700,204411,41557
2016-07-19,42400,42700,41650,41750,74894,41607
2016-07-20,41800,41900,41250,41250,60794,41108
2016-07-21,41550,43500,41300,42500,140983,42354
2016-07-22,42300,43500,42150,42300,98306,42155
2016-07-25,39200,40900,39000,39000,730729,38866
2016-07-26,39000,39400,37100,38150,301243,38019
2016-07-27,38550,38850,37950,37950,167255,37820
2016-07-28,37600,38550,37050,37350,171138,37222
2016-07-29,37750,39200,37100,38100,164812,37969
2016-08-01,38450,38900,37000,37100,119877,36972
2016-08-02,37100,37700,36700,36950,82759,36823
2016-08-03,36800,37250,35350,35500,143997,35378
2016-08-04,36250,36450,34050,34050,181499,33933
2016-08-05,34150,34400,32800,33000,182414,32886
2016-08-08,32950,32950,31150,31150,256264,31043
2016-08-09,31050,32900,31050,31500,245912,31392
2016-08-10,31750,33050,31500,32850,188736,32737
2016-08-11,32750,33300,32000,32700,126793,32588
2016-08-12,32700,34450,32500,33450,229028,33335
2016-08-16,33450,34500,32600,33300,86447,33185
2016-08-17,33000,33550,31950,32050,102051,31940
2016-08-18,32450,32600,31300,31400,75287,31292
2016-08-19,31400,32200,31350,32000,59187,31890
2016-08-22,32700,33850,32500,32600,140879,32488
2016-08-23,32950,33550,32450,32450,64833,32338
2016-08-24,32300,33100,32250,32850,47145,32737
2016-08-25,33000,33000,32300,32300,34869,32189
2016-08-26,32300,32350,31300,31550,57497,31441
2016-08-29,31550,31650,29500,29500,166041,29398
2016-08-30,29300,30200,28800,28850,83577,28751
2016-08-31,29100,29300,27200,27600,135575,27505
2016-09-01,27300,28850,27100,27850,107668,27754
2016-09-02,28000,30650,28000,29700,203711,29598
2016-09-05,29700,31350,29100,29850,141363,29747
2016-09-06,29800,30800,29000,30450,95099,30345
2016-09-07,30900,30900,29200,29200,85108,29100
2016-09-08,29100,31450,28700,31250,155202,31142
2016-09-09,31250,33900,30350,31700,325808,31591
2016-09-12,31150,31800,29850,29850,114342,29747
2016-09-13,30300,32350,30300,32000,145481,31890
2016-09-19,32000,33550,31850,32300,128028,32189
2016-09-20,32300,33100,31650,32250,94597,32139
2016-09-21,32350,32500,31350,31500,78825,31392
2016-09-22,31700,32100,31350,31500,51741,31392
2016-09-23,31000,32050,31000,31550,68965,31441
2016-09-26,31400,32000,30650,30650,62185,30545
2016-09-27,30500,31500,29800,31100,82832,30993
2016-09-28,31450,33100,31450,32450,199609,32338
2016-09-29,32100,32450,31500,32250,84932,32139
2016-09-30,32200,32200,30200,30350,125276,30246
2016-10-04,30350,30350,29000,30000,80027,29897
2016-10-05,29800,30600,29500,29600,57444,29498
2016-10-06,29400,30300,29400,30100,51428,29996
2016-10-07,29950,30300,29000,29000,65457,28900
2016-10-10,28600,29500,28600,28900,34174,28801
2016-10-11,29050,29700,28750,28950,33713,28850
2016-10-12,28900,29600,28900,28950,26476,28850
2016-10-13,28950,29600,28850,29100,32893,29000
2016-10-14,29550,29700,29100,29350,20959,29249
2016-10-17,29100,29350,28400,28550,44239,28452
2016-10-18,28400,29050,28400,28850,23101,28751
2016-10-19,28850,28900,28450,28450,37886,28352
2016-10-20,28650,29000,28400,28500,35259,28402
2016-10-21,28550,28650,28000,28000,27295,27904
2016-10-24,28000,28100,27050,27150,52941,27057
2016-10-25,27050,27450,25700,25900,90915,25811
2016-10-26,25450,27000,25450,26250,54754,26160
2016-10-27,26250,27150,26000,26550,51645,26459
