Date,Open,High,Low,Close,Volume,Adj_Close
2020-09-23,44000,47700,40600,40750,1024487,40750
2020-09-24,39750,41000,38250,40650,176608,40650
2020-09-25,41400,47950,40700,45450,380125,45450
2020-09-28,47500,49300,45100,48500,176027,48500
2020-09-29,49000,50100,47200,49600,101488,49600
2020-10-05,50200,51000,47700,49350,101770,49350
2020-10-06,49050,49100,46800,47500,97469,47500
2020-10-07,46200,49850,45850,49550,91779,49550
2020-10-08,49800,60000,49600,55900,446318,55900
2020-10-12,56800,61000,56100,58500,376697,58500
2020-10-13,59100,62500,56400,60500,200480,60500
2020-10-14,60500,61500,56200,60700,205255,60700
2020-10-15,61500,62400,58400,58500,126941,58500
2020-10-16,57500,59400,54900,57400,115472,57400
2020-10-19,58200,58600,53000,53200,131476,53200
2020-10-20,52000,53500,49800,53400,141860,53400
2020-10-21,53300,53400,51000,51900,43153,51900
2020-10-22,51700,52800,50000,50900,57463,50900
2020-10-23,50900,51600,48550,49650,105241,49650
2020-10-26,49250,49400,44650,45500,109710,45500
2020-10-27,44700,47000,43700,44450,96086,44450
2020-10-28,44800,47800,44700,47250,91283,47250
2020-10-29,46000,47000,45150,46450,57873,46450
2020-10-30,46400,48700,45300,46900,69677,46900
2020-11-02,47300,50800,46950,48800,93981,48800
2020-11-03,49700,54000,49450,51200,123979,51200
2020-11-04,52400,52700,49100,49550,107813,49550
2020-11-05,51600,53000,50500,51300,112150,51300
2020-11-06,52000,52200,49800,49950,83788,49950
2020-11-09,51000,54800,50400,54000,218560,54000
