Date,Open,High,Low,Close,Volume,Adj_Close
2017-12-18,12900,13100,10700,10700,695516,0
2017-12-19,10550,10700,8460,9110,434384,0
2017-12-21,8600,8600,8050,8110,138999,0
2017-12-22,8140,8570,8140,8460,63796,0
2017-12-26,8370,8480,8130,8170,45693,0
2017-12-27,8330,8350,8170,8320,31248,0
2017-12-28,8370,8620,8360,8590,42135,0
2018-01-02,8560,8780,8500,8710,53980,0
2018-01-03,8740,8740,8520,8590,45439,0
2018-01-04,8590,8610,8340,8440,32423,0
2018-01-05,8440,8490,8300,8490,28260,0
2018-01-08,8500,8570,8290,8320,36816,0
2018-01-09,8370,8400,8120,8120,40807,0
2018-01-10,8120,8450,8050,8370,43536,0
2018-01-11,8450,8450,8210,8340,21343,0
2018-01-12,8340,8340,8060,8300,19546,0
2018-01-15,8300,8300,8150,8260,9184,0
2018-01-16,8330,8390,8190,8300,21336,0
2018-01-17,8250,8300,8190,8280,8420,0
2018-01-18,8280,8300,8100,8250,21743,0
2018-01-19,8250,8770,8160,8530,52931,0
2018-01-22,8530,8620,8480,8590,24654,0
2018-01-23,8580,8600,8480,8510,44020,0
2018-01-24,8470,8560,8360,8430,36048,0
2018-01-25,8390,8460,8360,8430,22486,0
2018-01-26,8500,8600,8400,8570,29666,0
2018-01-29,8580,9370,8550,9290,194804,0
2018-01-30,9460,9510,9200,9370,73380,0
2018-01-31,9200,9320,9030,9170,40738,0
2018-02-01,9160,9260,9050,9200,31244,0
2018-02-02,9200,9200,8860,8960,34782,0
2018-02-05,8870,8930,8440,8530,65721,0
2018-02-06,8250,8300,7750,8270,64175,0
2018-02-07,8380,8380,8090,8160,31512,0
2018-02-08,8160,8390,7920,8250,21326,0
2018-02-09,8010,8180,7900,8010,18462,0
2018-02-12,8010,8180,7900,7950,13661,0
2018-02-13,7950,8120,7790,7870,12081,0
2018-02-14,7840,8060,7820,7980,8571,0
2018-02-19,8000,8170,8000,8160,15111,0
2018-02-20,8180,8180,8050,8150,8858,0
2018-02-21,8150,8180,8040,8120,9748,0
2018-02-22,8190,8190,8040,8100,6616,0
2018-02-23,8100,8180,7900,7900,19379,0
2018-02-26,7900,8050,7900,7980,4004,0
2018-02-27,8040,8050,7900,7900,7470,0
2018-02-28,7800,8100,7800,8080,9800,0
2018-03-02,8080,8080,7900,8030,12885,0
2018-03-05,8050,8050,7900,7960,7640,0
2018-03-06,7960,8040,7860,7960,8997,0
2018-03-08,7890,7980,7840,7980,8456,0
2018-03-09,7960,7980,7880,7970,3070,0
2018-03-12,8050,8080,7960,8060,10238,0
2018-03-13,8060,8080,7970,8010,7589,0
2018-03-14,7970,8020,7970,8020,7476,0
2018-03-15,8040,8250,7980,8250,10703,0
2018-03-16,8250,8310,8130,8160,16141,0
2018-03-19,8160,8270,8070,8240,7647,0
2018-03-20,8060,8230,8060,8120,8572,0
2018-03-21,8120,8140,7970,8010,12261,0
2018-03-22,7970,8080,7900,7930,14090,0
2018-03-23,7800,7930,7680,7720,13282,0
2018-03-26,7640,7740,7560,7720,13633,0
